,SCHOOL,Feature,Information
,ENSA KENITRA,Adresse,"campus universitaire, B.P 241, Kénitra - Maroc"
,ENSA KENITRA,Téléphones,"(+212) 5 37 32 94 48
(+212) 5 37 37 67 65"
,ENSA KENITRA,Filières,Génie Electrique; Génie Industriel;Génie Informatique; Génie Mécatronique; Génie des réseaux et Systèmes de Télécommunication;Efficacité énergétique et bâtiment intelligent;
,ENSA KENITRA,Site,http://ensa.uit.ac.ma/
,ENSA KENITRA,Localisation,"34.24881148390378, -6.582945113212223"
,ENSA AL HOCEIMA,Nombre des étudiants,1000
,ENSA AL HOCEIMA,Cité universitaire,Fille et Garçon
,ENSA AL HOCEIMA,Type,École d'ingénieur
,ENSA AL HOCEIMA,Adresse,"Ecole Nationale des Sciences Appliquées d'Al Hoceima BP 03, Ajdir Al-Hoceima"
,ENSA AL HOCEIMA,Téléphones,+212(0) 539 80 57 12
,ENSA AL HOCEIMA,Filières,Génie Civil; Génie Informatique; Ingénierie des données;Génie énergétique et énergies renouvelables; Génie de l’Eau et de l’Environnement; Génie Mécanique
,ENSA AL HOCEIMA,Site,http://ensah.ma/
,ENSA AL HOCEIMA,Localisation,"35.1728761912528, -3.86300276530119"
,ENSA AGADIR,Nombre des étudiants,1000
,ENSA AGADIR,Cité universitaire,Fille et Garçon
,ENSA AGADIR,Type,École d'ingénieur
,ENSA AGADIR,Adresse,"Avenue Tamsoult, Agadir 80000, Morocco"
,ENSA AGADIR,Téléphones,+212 (0)52822 83 13
,ENSA AGADIR,Filières,"Génie Informatique;Génie Industriel;Génie Electrique;Génie Civil;Génie des Procédés, de l’Energie et de l’Environnement;Génie Mécanique;Finance et ingénierie Décisionnelle"
,ENSA AGADIR,Site,https://www.ensaa.ma/
,ENSA AGADIR,Localisation,"30.4060895043313, -9.529304981429561"
,ENSA EL JADIDA,Nombre des étudiants,1000
,ENSA EL JADIDA,Cité universitaire,Non
,ENSA EL JADIDA,Type,École d'ingénieur
,ENSA EL JADIDA,Adresse,"Route d'Azemmour, Nationale N°1, ELHAOUZIA BP : 5096 El Jadida 24002 Maroc"
,ENSA EL JADIDA,Téléphones,(+212) 5 23 34 48 22
,ENSA EL JADIDA,Filières,Ingénierie des Systèmes d’Information et de Communication; Génie Energétique et Electrique; Ingénierie Informatique et Technologies Emergentes; Génie Industriel; Génie Civil; cybersécurité et confiance numérique
,ENSA EL JADIDA,Site,http://www.ensaj.ucd.ac.ma/
,ENSA EL JADIDA,Localisation,"33.25126851726938, -8.433703894775725"
,ENSA SAFI,Nombre des étudiants,1200
,ENSA SAFI,Cité universitaire,Pour les filles
,ENSA SAFI,Type,École d'ingénieur
,ENSA SAFI,Adresse,"Route Sidi Bouzid BP 63, 46000 Safi Maroc"
,ENSA SAFI,Téléphones,+212 656 200007
,ENSA SAFI,Filières,Génie Informatique et Intelligence Artificielles; Génie réseaux et télécommunication; Génie Aéronautique et Technologies de l’Espace; Génie Industriel; Génie des Procédés & Matériaux Avancés
,ENSA SAFI,Site,http://www.ensas.uca.ma/
,ENSA SAFI,Localisation,"32.32702538513263, -9.26301676009126"
